loss,acc
2.3779547214508057,0.07
2.327904224395752,0.1
2.289541244506836,0.07
2.3340303897857666,0.07
2.319075345993042,0.12
2.3115129470825195,0.1
2.3094642162323,0.11
2.3363070487976074,0.17
2.342223882675171,0.12
2.3401341438293457,0.09
2.303422451019287,0.08
2.3033485412597656,0.09
2.3384199142456055,0.06
2.3267807960510254,0.13
2.3595168590545654,0.13
2.3164713382720947,0.06
2.2984256744384766,0.11
2.3602805137634277,0.08
2.3240630626678467,0.09
2.356765031814575,0.03
2.312488317489624,0.07
2.3387439250946045,0.1
2.2951302528381348,0.11
2.346510410308838,0.09
2.3040835857391357,0.07
2.2989702224731445,0.1
2.2944512367248535,0.07
2.319276809692383,0.08
2.330705165863037,0.1
2.323758125305176,0.11
2.3273589611053467,0.11
2.307478904724121,0.12
2.356520414352417,0.12
2.345832109451294,0.07
2.345852851867676,0.08
2.3303420543670654,0.11
2.316563367843628,0.09
2.2934446334838867,0.11
2.3274314403533936,0.12
2.3068344593048096,0.07
2.2734241485595703,0.19
2.3100433349609375,0.12
2.2953641414642334,0.09
2.304271936416626,0.09
2.2869081497192383,0.06
2.3379156589508057,0.04
2.3437201976776123,0.06
2.250866413116455,0.09
2.298527956008911,0.09
2.286315679550171,0.09
2.313955783843994,0.12
2.2800650596618652,0.05
2.306678056716919,0.07
2.3144688606262207,0.08
2.300313949584961,0.09
2.305962562561035,0.15
2.294029474258423,0.08
2.331174373626709,0.06
2.2882933616638184,0.12
2.3226840496063232,0.08
2.306246519088745,0.1
2.3057289123535156,0.11
2.302826166152954,0.06
2.3095550537109375,0.12
2.3148531913757324,0.08
2.313589096069336,0.03
2.294327974319458,0.13
2.295128345489502,0.09
2.334599018096924,0.12
2.3287270069122314,0.08
2.2974085807800293,0.11
2.3087379932403564,0.14
