loss,acc
2.3244311809539795,0.14
2.335099458694458,0.06
2.363478183746338,0.16
2.302635431289673,0.1
2.3484513759613037,0.12
2.295316696166992,0.19
2.3406505584716797,0.12
2.349717378616333,0.06
2.3546993732452393,0.13
2.324144124984741,0.09
2.34832763671875,0.09
2.303272247314453,0.1
2.3293850421905518,0.12
2.349614381790161,0.1
2.3563661575317383,0.1
2.3159027099609375,0.13
2.351423978805542,0.06
2.346839189529419,0.07
2.334660053253174,0.07
2.325289726257324,0.13
2.3372836112976074,0.06
2.3166232109069824,0.12
2.3329899311065674,0.1
2.3305914402008057,0.11
2.323326349258423,0.1
2.302647352218628,0.1
2.343271017074585,0.18
2.3476271629333496,0.07
2.3147685527801514,0.05
2.325670003890991,0.13
2.314624309539795,0.13
2.362839698791504,0.14
2.3226616382598877,0.11
2.3290486335754395,0.07
2.2762584686279297,0.14
2.3628311157226562,0.03
2.3302509784698486,0.07
2.344456434249878,0.05
2.360809087753296,0.08
2.3605597019195557,0.11
2.3395774364471436,0.09
2.355820894241333,0.12
2.323820114135742,0.09
2.302372694015503,0.2
2.332427740097046,0.09
2.31467342376709,0.09
2.283238649368286,0.07
2.363943576812744,0.09
2.34787654876709,0.09
2.345306396484375,0.12
2.3325932025909424,0.12
2.33371639251709,0.07
2.2960145473480225,0.08
2.3389687538146973,0.08
2.3563826084136963,0.15
2.315761089324951,0.14
2.3523502349853516,0.11
2.343364715576172,0.16
2.3276076316833496,0.16
2.3176486492156982,0.08
2.324693202972412,0.09
2.3396384716033936,0.1
2.31427264213562,0.21
2.3237147331237793,0.1
2.343341827392578,0.13
2.3324060440063477,0.14
2.3354668617248535,0.14
2.3122191429138184,0.09
2.3355438709259033,0.14
2.355087995529175,0.1
2.365490198135376,0.09
2.323960065841675,0.16
2.3224003314971924,0.18
2.3283729553222656,0.19
2.335571527481079,0.08
2.3646693229675293,0.1
2.3172175884246826,0.14
2.349435806274414,0.14
2.315028667449951,0.14
2.3486907482147217,0.12
2.3140857219696045,0.12
2.3650856018066406,0.07
2.324681520462036,0.08
2.306457042694092,0.07
2.3049893379211426,0.16
2.2998046875,0.07
2.3580780029296875,0.05
2.334527015686035,0.09
2.329598903656006,0.11
2.3235602378845215,0.12
2.324599266052246,0.11
2.3643720149993896,0.14
2.3139474391937256,0.1
2.309323310852051,0.1
2.3142552375793457,0.11
2.343209981918335,0.07
2.3555707931518555,0.07
2.3402063846588135,0.11
2.3312089443206787,0.19
2.3507020473480225,0.09
2.374022960662842,0.12
2.329719305038452,0.1
2.3307065963745117,0.14
2.3275136947631836,0.16
2.3601300716400146,0.09
2.3304054737091064,0.14
2.3621675968170166,0.05
2.3076462745666504,0.11
2.303976535797119,0.07
2.3175995349884033,0.09
2.329148054122925,0.11
2.369959592819214,0.13
2.34871244430542,0.12
2.3308470249176025,0.07
2.341658592224121,0.16
2.3230578899383545,0.14
2.3376269340515137,0.08
2.3347866535186768,0.1
2.3444931507110596,0.19
2.3699498176574707,0.08
2.3488528728485107,0.05
2.3754987716674805,0.11
2.3337085247039795,0.07
2.393988847732544,0.1
2.3056862354278564,0.15
2.341864585876465,0.08
2.367238998413086,0.13
2.3135530948638916,0.14
2.38545298576355,0.08
2.3705270290374756,0.1
2.357921600341797,0.05
2.3372955322265625,0.13
2.367079496383667,0.12
2.3173909187316895,0.13
2.3173561096191406,0.12
2.360015630722046,0.11
2.3290486335754395,0.13
2.332504987716675,0.11
2.3134310245513916,0.09
2.302098512649536,0.11
2.3316521644592285,0.07
2.3570291996002197,0.11
2.30216121673584,0.06
2.3039259910583496,0.11
2.336495876312256,0.18
2.2794339656829834,0.07
2.3212015628814697,0.14
2.3521056175231934,0.06
2.329422950744629,0.12
2.325779914855957,0.13
2.3716063499450684,0.11
2.3684587478637695,0.13
2.3645529747009277,0.09
2.2876574993133545,0.13
2.341301202774048,0.13
2.30253267288208,0.1
2.317542314529419,0.04
2.326129674911499,0.15
2.3565263748168945,0.12
2.345815420150757,0.09
2.346917152404785,0.03
2.3544957637786865,0.11
2.2970337867736816,0.11
2.3348469734191895,0.07
2.3702120780944824,0.11
2.3167004585266113,0.1
2.3400630950927734,0.1
2.3335793018341064,0.16
2.3561594486236572,0.12
2.342858076095581,0.09
2.320416212081909,0.08
2.313685894012451,0.06
2.355734348297119,0.12
2.351879596710205,0.11
2.3579659461975098,0.11
2.3301565647125244,0.09
2.320997714996338,0.16
2.3198187351226807,0.09
2.3486862182617188,0.11
2.303401231765747,0.06
2.3045096397399902,0.15
2.351431369781494,0.1
2.3571131229400635,0.12
2.3270208835601807,0.15
2.325387954711914,0.15
2.3629884719848633,0.08
2.33609938621521,0.05
2.3300580978393555,0.1
2.3400418758392334,0.11
2.3291432857513428,0.12
2.3351824283599854,0.11
2.353468179702759,0.13
2.3727121353149414,0.06
2.324937343597412,0.11
2.3453776836395264,0.16
2.299809455871582,0.17
2.361531972885132,0.07
2.3394460678100586,0.12
2.347430467605591,0.16
2.3094611167907715,0.08
2.2858405113220215,0.12
2.3421249389648438,0.09
2.3140368461608887,0.14
2.3570027351379395,0.11
2.354477643966675,0.12
2.313905954360962,0.09
2.333925724029541,0.11
2.3219687938690186,0.05
2.3477461338043213,0.08
2.356642961502075,0.06
2.330746650695801,0.07
2.30401873588562,0.07
2.3547773361206055,0.09
2.290466785430908,0.21
2.374025344848633,0.11
2.3217825889587402,0.11
2.342257499694824,0.12
2.3307268619537354,0.11
2.299752712249756,0.13
2.338299036026001,0.15
2.3328449726104736,0.08
2.3028976917266846,0.07
2.3128662109375,0.11
2.353358745574951,0.1
2.3043599128723145,0.1
2.3435444831848145,0.1
2.334524393081665,0.11
