loss,acc
2.3238413333892822,0.05
2.2848215103149414,0.19
2.284201145172119,0.11
2.3366193771362305,0.1
2.352108955383301,0.11
2.315521001815796,0.09
2.3109073638916016,0.11
2.2909483909606934,0.11
2.3050284385681152,0.06
2.2848541736602783,0.08
2.299783706665039,0.06
2.310817241668701,0.13
2.3087685108184814,0.07
2.314826726913452,0.12
2.323880195617676,0.07
2.2989389896392822,0.05
2.3071401119232178,0.11
2.3286991119384766,0.07
2.3377268314361572,0.09
2.310065269470215,0.1
2.3053371906280518,0.12
2.3010244369506836,0.13
2.309558153152466,0.1
2.329641580581665,0.09
2.2954964637756348,0.09
2.3272478580474854,0.12
2.30922794342041,0.08
2.333592176437378,0.14
2.3046579360961914,0.14
2.288158655166626,0.12
2.325604200363159,0.16
2.313082218170166,0.12
2.310019016265869,0.12
2.309676170349121,0.08
2.2906455993652344,0.12
2.323652982711792,0.09
2.31091046333313,0.06
2.329475164413452,0.05
2.3227083683013916,0.06
2.330740451812744,0.12
2.341533660888672,0.13
2.3265485763549805,0.12
2.294156074523926,0.16
2.32391095161438,0.13
2.269606590270996,0.11
2.324986457824707,0.13
2.318645715713501,0.05
2.2727715969085693,0.1
2.3060500621795654,0.13
2.299649953842163,0.12
2.3231959342956543,0.1
2.3151586055755615,0.11
2.3323471546173096,0.05
2.3084938526153564,0.07
2.312884569168091,0.13
2.3208506107330322,0.12
2.321234941482544,0.09
2.2885372638702393,0.15
2.318648338317871,0.05
2.3341054916381836,0.14
2.323199987411499,0.1
2.32342791557312,0.08
2.3136396408081055,0.12
2.3185577392578125,0.06
2.3189198970794678,0.08
2.294881820678711,0.13
2.346306562423706,0.15
2.3367180824279785,0.12
2.3287835121154785,0.06
2.3206145763397217,0.1
2.3163883686065674,0.09
2.297262668609619,0.08
2.318598747253418,0.09
2.2881593704223633,0.1
2.3010663986206055,0.12
2.291081428527832,0.1
2.311370611190796,0.09
2.357760429382324,0.12
2.321605920791626,0.19
2.309067487716675,0.11
2.322471857070923,0.11
2.3130784034729004,0.12
2.3113839626312256,0.03
2.291273355484009,0.11
2.289895534515381,0.09
2.328578233718872,0.09
2.314511775970459,0.08
2.299481153488159,0.13
2.2928380966186523,0.12
2.3350977897644043,0.08
2.320723056793213,0.11
2.2977864742279053,0.17
2.311431884765625,0.06
2.322453260421753,0.04
2.3198494911193848,0.11
2.3075437545776367,0.05
2.3058736324310303,0.07
2.3413851261138916,0.17
2.2874698638916016,0.15
2.3154690265655518,0.08
2.3173584938049316,0.09
2.3345112800598145,0.07
2.3134031295776367,0.11
2.3485898971557617,0.08
2.341353178024292,0.13
2.3080496788024902,0.11
2.2928690910339355,0.09
2.2774817943573,0.11
2.302175521850586,0.1
2.2776880264282227,0.12
2.2842535972595215,0.21
2.3199214935302734,0.13
2.3052263259887695,0.14
2.3111393451690674,0.05
2.3020474910736084,0.11
2.290977716445923,0.17
2.318631887435913,0.16
2.2902674674987793,0.08
2.304830312728882,0.09
2.335052728652954,0.11
2.3137054443359375,0.11
2.300999641418457,0.09
2.304673194885254,0.16
2.3262529373168945,0.1
2.3401925563812256,0.08
2.315204381942749,0.12
2.3330447673797607,0.1
2.318071126937866,0.11
2.32039737701416,0.14
2.3236825466156006,0.08
2.32702898979187,0.1
2.2779433727264404,0.1
2.287684917449951,0.11
2.322479486465454,0.11
2.312082290649414,0.11
2.3114497661590576,0.03
2.313570976257324,0.08
2.3160367012023926,0.18
2.3037726879119873,0.1
2.318444013595581,0.09
2.333268642425537,0.1
2.3148577213287354,0.11
2.3333072662353516,0.1
2.3435568809509277,0.05
2.3254168033599854,0.04
2.3107423782348633,0.09
2.295452356338501,0.18
2.3131706714630127,0.09
2.283787965774536,0.09
2.341047525405884,0.08
2.2979092597961426,0.12
2.3064963817596436,0.08
2.311908006668091,0.07
2.328721046447754,0.08
2.3385732173919678,0.09
2.28686785697937,0.11
2.3006577491760254,0.1
2.3267416954040527,0.13
2.3428456783294678,0.1
2.3095619678497314,0.08
2.3051164150238037,0.1
2.308846950531006,0.09
2.321321487426758,0.14
2.303494930267334,0.15
2.3144173622131348,0.12
2.322233200073242,0.09
2.289769411087036,0.18
2.308823585510254,0.09
2.307316780090332,0.12
2.2848691940307617,0.08
2.3258554935455322,0.11
2.287590742111206,0.12
2.3027658462524414,0.09
2.303309679031372,0.1
2.326286554336548,0.15
2.2965869903564453,0.15
2.3218560218811035,0.12
2.3408472537994385,0.13
2.3054537773132324,0.14
2.315263271331787,0.1
2.3037710189819336,0.12
2.3327038288116455,0.13
2.2959892749786377,0.06
2.325819969177246,0.11
2.3237366676330566,0.1
2.3124566078186035,0.17
2.2960081100463867,0.15
2.283057451248169,0.07
2.3384759426116943,0.16
2.3143503665924072,0.07
2.3283960819244385,0.16
2.2939493656158447,0.05
2.3300750255584717,0.09
2.3151886463165283,0.09
2.327307939529419,0.13
2.3058314323425293,0.08
2.325467109680176,0.1
2.2810373306274414,0.14
2.3287742137908936,0.08
